Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Aldeamentos Turísticos;37 907;34 851;40 840;48 911;46 262;65 738;105 815;72 040;64 719;133 761;100 786;123 688;183 447;176 719;218 198;285 970;114 028;;85 823;;56 577;;78 365;;1 132 767;941 678
Apartamentos Turísticos;48 097;94 431;58 158;179 321;55 782;307 372;159 575;357 741;155 931;413 002;195 288;370 886;423 550;451 218;537 703;543 779;360 431;;275 740;;109 527;;146 541;;2 526 323;2 717 750
Outros;975 577;1 109 691;1 014 032;1 040 837;1 065 602;1 164 226;1 341 103;1 221 881;1 430 576;1 322 550;1 499 222;1 345 179;1 752 850;1 522 235;2 466 279;1 872 453;1 801 911;;1 489 401;;1 132 841;;1 408 362;;17 377 756;10 599 052
Centro;11 013 700;12 316 775;11 854 769;13 887 875;14 685 871;17 810 012;21 334 091;21 490 126;25 861 605;25 053 135;25 473 469;24 846 459;29 962 841;31 050 985;40 961 454;41 441 153;32 391 779;;27 487 491;;14 939 628;;16 757 984;;272 724 682;187 896 520
Hotéis;9 458 867;10 531 284;10 090 851;11 609 745;12 559 654;15 090 343;18 140 588;18 637 762;22 306 647;21 948 320;21 782 251;21 345 292;25 305 555;26 591 557;33 774 695;34 402 487;27 507 855;;23 766 362;;12 938 064;;14 112 760;;231 744 149;160 156 790
5*;1 255 218;1 276 551;1 089 809;1 321 044;1 540 781;1 778 377;1 933 380;1 954 651;1 863 871;2 421 511;2 133 091;2 219 050;2 304 909;3 171 903;3 017 133;3 168 468;2 530 760;;2 344 069;;1 263 700;;1 343 467;;22 620 188;17 311 555
4*;4 612 633;5 033 301;4 731 199;5 487 502;5 614 783;6 745 843;7 746 071;7 929 398;9 323 452;9 233 148;8 904 297;8 839 892;9 877 190;11 080 084;13 490 513;14 150 604;10 963 061;;9 607 838;;5 713 177;;6 740 216;;97 324 430;68 499 772
3*;2 785 405;3 151 171;3 335 673;3 720 987;4 198 525;5 123 606;6 650 324;6 842 927;8 494 282;7 950 110;8 340 413;7 930 572;10 024 194;9 328 857;13 093 262;12 547 322;10 502 976;;9 176 291;;4 533 979;;4 811 844;;85 947 168;56 595 552
2* e 1*;805 611;1 070 261;934 170;1 080 212;1 205 565;1 442 517;1 810 813;1 910 786;2 625 042;2 343 551;2 404 450;2 355 778;3 099 262;3 010 713;4 173 787;4 536 093;3 511 058;;2 638 164;;1 427 208;;1 217 233;;25 852 363;17 749 911
Hotéis-Apartamentos;300 886;367 130;274 701;476 364;420 242;565 067;711 100;689 554;1 015 729;844 630;860 950;882 820;929 326;991 238;1 292 138;1 390 519;1 069 692;;998 043;;492 992;;449 780;;8 815 579;6 207 322
Pousadas;410 708;490 842;466 266;589 271;499 384;631 521;741 932;674 096;781 289;822 157;804 193;781 558;751 752;834 828;1 109 133;1 120 750;970 011;;759 764;;454 905;;757 530;;8 506 867;5 945 023
Aldeamentos Turísticos;143 392;158 378;235 221;518 042;256 918;769 209;373 156;605 714;206 174;369 502;375 440;709 051;676 635;877 634;1 475 482;1 900 618;655 346;;380 372;;122 654;;451 261;;5 352 051;5 908 148
Apartamentos Turísticos;85 074;44 293;61 117;83 708;114 945;164 773;236 446;198 729;226 789;240 103;310 372;328 509;577 063;593 358;918 356;837 960;500 929;;234 086;;74 485;;138 031;;3 477 693;2 491 433
Outros;614 773;724 848;726 613;610 745;834 728;589 099;1 130 869;684 271;1 324 977;828 423;1 340 263;799 229;1 722 510;1 162 370;2 391 650;1 788 819;1 687 946;;1 348 864;;856 528;;848 622;;14 828 343;7 187 804
A.M. Lisboa;47 900 805;55 323 252;50 202 339;56 915 086;69 675 816;81 778 952;91 624 919;98 194 247;106 576 953;120 624 189;100 692 371;114 894 768;104 183 999;117 233 479;111 087 112;115 485 028;129 996 483;;118 234 879;;76 596 964;;60 513 124;;1 067 285 764;760 449 001
Hotéis;44 081 214;50 690 221;46 174 716;51 932 149;63 970 066;75 349 083;82 998 443;90 465 932;97 056 989;110 970 318;90 575 799;105 267 607;92 156 887;104 945 378;97 853 890;102 145 556;118 299 558;;107 906 359;;70 566 111;;55 148 192;;966 788 224;691 766 244
5*;16 419 616;19 264 766;17 559 996;18 921 171;24 690 631;27 505 377;30 837 709;33 812 097;36 554 311;41 513 112;34 050 106;40 649 619;33 832 780;39 357 772;34 069 417;35 849 387;49 446 744;;41 111 017;;26 967 437;;20 584 073;;366 123 837;256 873 301
4*;19 431 971;22 371 750;20 107 576;22 811 399;27 560 618;33 257 256;36 365 963;39 579 495;42 349 915;48 240 395;39 706 043;45 590 024;40 434 418;45 411 223;44 238 417;45 420 350;48 092 874;;47 276 424;;30 994 202;;24 279 900;;420 838 321;302 681 892
3*;5 566 136;6 443 514;5 846 829;7 358 139;8 165 298;10 237 714;11 369 220;12 427 136;13 125 452;15 486 088;12 090 257;13 886 639;12 825 657;14 749 192;13 779 926;14 683 056;15 043 738;;14 295 222;;9 077 669;;7 330 957;;128 516 361;95 271 478
2* e 1*;2 663 491;2 610 191;2 660 315;2 841 440;3 553 519;4 348 736;4 425 551;4 647 204;5 027 311;5 730 723;4 729 393;5 141 325;5 064 032;5 427 191;5 766 130;6 192 763;5 716 202;;5 223 696;;3 526 803;;2 953 262;;51 309 705;36 939 573
Hotéis-Apartamentos;1 244 663;1 569 391;1 520 877;2 025 493;2 159 901;2 738 160;3 411 694;3 300 210;3 848 861;4 157 717;4 211 521;4 497 684;5 281 097;5 881 949;5 857 799;6 400 521;4 666 234;;4 027 827;;2 411 113;;1 953 906;;40 595 493;30 571 125
Pousadas;845 251;901 511;705 083;913 825;1 051 396;1 270 117;1 452 813;1 419 269;1 726 728;1 943 768;1 749 417;1 830 217;1 736 492;1 849 796;1 791 896;1 865 967;1 970 443;;1 744 295;;1 149 910;;1 126 508;;17 050 232;11 994 470
Aldeamentos Turísticos;347 922;432 192;461 488;519 837;600 570;761 459;1 254 190;1 118 499;1 129 592;1 230 775;1 464 504;1 205 479;2 083 207;2 047 953;2 117 976;2 341 676;1 683 297;;1 301 281;;565 685;;631 008;;13 640 720;9 657 870
Apartamentos Turísticos;504 879;650 153;452 067;601 728;543 688;820 125;775 210;937 428;857 418;1 146 002;836 324;1 079 031;944 101;1 361 995;1 247 990;1 453 775;1 129 795;;1 179 613;;682 329;;612 011;;9 765 425;8 050 237
Outros;876 876;1 079 784;888 108;922 054;1 350 195;840 008;1 732 569;952 909;1 957 365;1 175 609;1 854 806;1 014 750;1 982 215;1 146 408;2 217 561;1 277 533;2 247 156;;2 075 504;;1 221 816;;1 041 499;;19 445 670;8 409 055
Alentejo;3 768 707;4 066 884;4 184 487;4 675 641;4 744 409;5 944 611;8 199 542;7 135 593;8 087 106;9 558 663;9 776 540;10 467 719;12 727 752;13 642 386;17 459 817;17 639 264;12 236 847;;8 746 772;;5 204 440;;6 039 282;;101 175 701;73 130 761
